"name","file","start_line","end_line"
"MyFullLoader","tests/legacy_tests/test_constructor.py",228,228
"EventsLoader","tests/legacy_tests/test_emitter.py",69,69
"Multi1","tests/legacy_tests/test_multi_constructor.py",26,26
"Multi2","tests/legacy_tests/test_multi_constructor.py",28,28
"AnInstanceWithState","tests/legacy_tests/test_recursive.py",17,17
"MyCanonicalLoader","tests/legacy_tests/test_structure.py",163,163
"Token","lib/yaml/tokens.py",2,2
"YAMLLexer","examples/pygments-lexer/yaml.py",157,157
"YAMLLexerContext","examples/pygments-lexer/yaml.py",21,21
"Style","examples/yaml-highlight/yaml_hl.py",5,5
"YAMLHighlight","examples/yaml-highlight/yaml_hl.py",37,37
