"name","file","start_line","end_line","scope"
"__str__","lib/yaml/error.py",58,58,"Class MarkedYAMLError"
"__getnewargs__","tests/legacy_tests/test_constructor.py",162,162,"Class NewArgs"
"__getnewargs__","tests/legacy_tests/test_constructor.py",168,168,"Class NewArgsWithState"
"close","lib/yaml/serializer.py",36,36,"Class Serializer"
"__enter__","packaging/_pyyaml_pep517.py",24,24,"Class ActiveConfigSettings"
"__exit__","packaging/_pyyaml_pep517.py",27,27,"Class ActiveConfigSettings"
"update","lib/yaml/reader.py",146,146,"Class Reader"
"get_data","lib/yaml/constructor.py",42,42,"Class BaseConstructor"
"prefix","lib/yaml/reader.py",94,94,"Class Reader"
"__setstate__","tests/legacy_tests/test_recursive.py",22,22,"Class AnInstanceWithState"
"__setstate__","tests/legacy_tests/test_constructor.py",107,107,"Class YAMLObject2"
"__setstate__","tests/legacy_tests/test_constructor.py",150,150,"Class AState"
"__setstate__","tests/legacy_tests/test_constructor.py",158,158,"Class ACustomState"
"__setstate__","tests/legacy_tests/test_constructor.py",172,172,"Class NewArgsWithState"
"__setstate__","tests/legacy_tests/test_constructor.py",186,186,"Class ReduceWithState"
"__setstate__","examples/yaml-highlight/yaml_hl.py",29,29,"Class Style"
"open","lib/yaml/serializer.py",27,27,"Class Serializer"
"warnings","lib/yaml/__init__.py",24,24,"Module yaml.__init__"
"scan","lib/yaml/__init__.py",29,29,"Module yaml.__init__"
"scan","tests/legacy_tests/canonical.py",49,49,"Class CanonicalScanner"
"check_token","lib/yaml/scanner.py",113,113,"Class Scanner"
"check_token","tests/legacy_tests/canonical.py",20,20,"Class CanonicalScanner"
"get_token","lib/yaml/scanner.py",135,135,"Class Scanner"
"get_token","tests/legacy_tests/canonical.py",37,37,"Class CanonicalScanner"
"dispose","lib/yaml/emitter.py",106,106,"Class Emitter"
"dispose","lib/yaml/parser.py",89,89,"Class Parser"
"dispose","tests/legacy_tests/canonical.py",215,215,"Class CanonicalParser"
"parse","lib/yaml/__init__.py",40,40,"Module yaml.__init__"
"parse","tests/legacy_tests/canonical.py",293,293,"Class CanonicalParser"
"check_event","lib/yaml/parser.py",94,94,"Class Parser"
"check_event","tests/legacy_tests/canonical.py",302,302,"Class CanonicalParser"
"get_event","lib/yaml/parser.py",114,114,"Class Parser"
"get_event","tests/legacy_tests/canonical.py",297,297,"Class CanonicalParser"
"compose","lib/yaml/__init__.py",51,51,"Module yaml.__init__"
"get_single_node","lib/yaml/composer.py",29,29,"Class Composer"
"compose_all","lib/yaml/__init__.py",62,62,"Module yaml.__init__"
"check_node","lib/yaml/composer.py",16,16,"Class Composer"
"get_node","lib/yaml/composer.py",24,24,"Class Composer"
"load","lib/yaml/__init__.py",74,74,"Module yaml.__init__"
"get_single_data","lib/yaml/constructor.py",47,47,"Class BaseConstructor"
"load_all","lib/yaml/__init__.py",85,85,"Module yaml.__init__"
"check_data","lib/yaml/constructor.py",30,30,"Class BaseConstructor"
"full_load","lib/yaml/__init__.py",97,97,"Module yaml.__init__"
"full_load_all","lib/yaml/__init__.py",107,107,"Module yaml.__init__"
"safe_load","lib/yaml/__init__.py",117,117,"Module yaml.__init__"
"safe_load_all","lib/yaml/__init__.py",127,127,"Module yaml.__init__"
"unsafe_load","lib/yaml/__init__.py",137,137,"Module yaml.__init__"
"unsafe_load_all","lib/yaml/__init__.py",147,147,"Module yaml.__init__"
"emit","lib/yaml/__init__.py",157,159,"Module yaml.__init__"
"emit","lib/yaml/emitter.py",111,111,"Class Emitter"
"serialize_all","lib/yaml/__init__.py",178,182,"Module yaml.__init__"
"serialize","lib/yaml/__init__.py",208,208,"Module yaml.__init__"
"serialize","lib/yaml/serializer.py",46,46,"Class Serializer"
"dump_all","lib/yaml/__init__.py",215,220,"Module yaml.__init__"
"represent","lib/yaml/representer.py",26,26,"Class BaseRepresenter"
"dump","lib/yaml/__init__.py",248,248,"Module yaml.__init__"
"safe_dump_all","lib/yaml/__init__.py",255,255,"Module yaml.__init__"
