"callee_name","callee_file","caller_name","caller_file","caller_start_line","caller_end_line"
"_serialize_value","tests/legacy_tests/test_constructor.py","test_constructor_types","tests/legacy_tests/test_constructor.py",255,255
"_compare_events","tests/legacy_tests/test_structure.py","test_emitter_on_data","tests/legacy_tests/test_emitter.py",17,17
"_compare_events","tests/legacy_tests/test_structure.py","test_emitter_on_canonical","tests/legacy_tests/test_emitter.py",29,29
"_compare_events","tests/legacy_tests/test_structure.py","test_emitter_styles","tests/legacy_tests/test_emitter.py",42,42
"_compare_events","tests/legacy_tests/test_structure.py","test_emitter_events","tests/legacy_tests/test_emitter.py",91,91
"_compare_events","tests/legacy_tests/test_structure.py","test_parser","tests/legacy_tests/test_structure.py",74,74
"_compare_events","tests/legacy_tests/test_structure.py","test_parser_on_canonical","tests/legacy_tests/test_structure.py",92,92
"_compare_events","tests/legacy_tests/test_emitter.py","test_emitter_on_data","tests/legacy_tests/test_emitter.py",17,17
"_compare_events","tests/legacy_tests/test_emitter.py","test_emitter_on_canonical","tests/legacy_tests/test_emitter.py",29,29
"_compare_events","tests/legacy_tests/test_emitter.py","test_emitter_styles","tests/legacy_tests/test_emitter.py",42,42
"_compare_events","tests/legacy_tests/test_emitter.py","test_emitter_events","tests/legacy_tests/test_emitter.py",91,91
"_compare_events","tests/legacy_tests/test_emitter.py","test_parser","tests/legacy_tests/test_structure.py",74,74
"_compare_events","tests/legacy_tests/test_emitter.py","test_parser_on_canonical","tests/legacy_tests/test_structure.py",92,92
"_run_reader","tests/legacy_tests/test_reader.py","test_stream_error","tests/legacy_tests/test_reader.py",15,15
"_make_path_loader_and_dumper","tests/legacy_tests/test_resolver.py","test_path_resolver_loader","tests/legacy_tests/test_resolver.py",61,61
"_make_path_loader_and_dumper","tests/legacy_tests/test_resolver.py","test_path_resolver_dumper","tests/legacy_tests/test_resolver.py",78,78
"_convert_node","tests/legacy_tests/test_resolver.py","_convert_node","tests/legacy_tests/test_resolver.py",47,47
"_convert_node","tests/legacy_tests/test_resolver.py","test_path_resolver_loader","tests/legacy_tests/test_resolver.py",61,61
"_convert_node","tests/legacy_tests/test_resolver.py","test_path_resolver_dumper","tests/legacy_tests/test_resolver.py",78,78
"_fail","tests/legacy_tests/test_schema.py","test_implicit_resolver","tests/legacy_tests/test_schema.py",53,53
"_convert_structure","tests/legacy_tests/test_structure.py","_convert_structure","tests/legacy_tests/test_structure.py",5,5
"_convert_structure","tests/legacy_tests/test_structure.py","test_structure","tests/legacy_tests/test_structure.py",35,35
"_compare_nodes","tests/legacy_tests/test_structure.py","_compare_nodes","tests/legacy_tests/test_structure.py",110,110
"_compare_nodes","tests/legacy_tests/test_structure.py","test_composer","tests/legacy_tests/test_structure.py",124,124
"_make_loader","tests/legacy_tests/test_structure.py","test_constructor","tests/legacy_tests/test_structure.py",176,176
"_make_canonical_loader","tests/legacy_tests/test_structure.py","test_constructor","tests/legacy_tests/test_structure.py",176,176
"_set_up","tests/legacy_tests/test_yaml_ext.py","wrapper","tests/legacy_tests/test_yaml_ext.py",259,259
"_tear_down","tests/legacy_tests/test_yaml_ext.py","wrapper","tests/legacy_tests/test_yaml_ext.py",259,259
"_compare_scanners","tests/legacy_tests/test_yaml_ext.py","test_c_scanner","tests/legacy_tests/test_yaml_ext.py",155,155
"_compare_parsers","tests/legacy_tests/test_yaml_ext.py","test_c_parser","tests/legacy_tests/test_yaml_ext.py",188,188
"_compare_emitters","tests/legacy_tests/test_yaml_ext.py","test_c_emitter","tests/legacy_tests/test_yaml_ext.py",233,233
"wrap_ext_function","tests/legacy_tests/test_yaml_ext.py","wrap_ext","tests/legacy_tests/test_yaml_ext.py",270,270
