"callee_name","callee_file","caller_name","caller_file","caller_start_line","caller_end_line"
"ucl_object_emit_file_funcs","src/ucl_emitter_utils.c","main","tests/test_basic.c",32,303
"ucl_object_emit_memory_funcs","src/ucl_emitter_utils.c","main","tests/test_basic.c",32,303
"ucl_object_emit_memory_funcs","src/ucl_emitter_utils.c","main","tests/test_generate.c",42,317
"ucl_object_emit_memory_funcs","src/ucl_emitter_utils.c","ucl_object_emit_len","src/ucl_emitter.c",667,692
"ucl_utstring_append_double","src/ucl_emitter_utils.c","ucl_object_emit_single_json","src/ucl_emitter_utils.c",458,507
"ucl_utstring_append_int","src/ucl_emitter_utils.c","ucl_object_emit_single_json","src/ucl_emitter_utils.c",458,507
"ucl_utstring_append_len","src/ucl_emitter_utils.c","ucl_object_emit_single_json","src/ucl_emitter_utils.c",458,507
"ucl_elt_string_write_multiline","src/ucl_emitter_utils.c","ucl_emitter_common_elt","src/ucl_emitter.c",380,508
"ucl_elt_string_write_squoted","src/ucl_emitter_utils.c","ucl_emitter_common_elt","src/ucl_emitter.c",380,508
"ucl_elt_string_write_json","src/ucl_emitter_utils.c","ucl_emitter_common_elt","src/ucl_emitter.c",380,508
"ucl_elt_string_write_json","src/ucl_emitter_utils.c","ucl_emitter_print_key","src/ucl_emitter.c",108,160
"ucl_emit_get_standard_context","src/ucl_emitter_utils.c","ucl_object_emit_full","src/ucl_emitter.c",694,715
"ucl_emit_get_standard_context","src/ucl_emitter_utils.c","ucl_object_emit_streamline_new","src/ucl_emitter_streamline.c",63,88
"ucl_hash_sort","src/ucl_hash.c","ucl_hash_sort","src/ucl_hash.c",611,634
"ucl_hash_sort","src/ucl_hash.c","ucl_object_sort_keys","src/ucl_util.c",3812,3818
"ucl_hash_reserve","src/ucl_hash.c","ucl_object_reserve","src/ucl_util.c",3026,3042
"ucl_hash_iterate2","src/ucl_hash.c","ucl_emitter_common_start_object","src/ucl_emitter.c",307,369
"ucl_hash_iterate2","src/ucl_hash.c","ucl_object_iterate_with_error","src/ucl_util.c",2717,2768
"ucl_hash_iterate2","src/ucl_hash.c","ucl_object_merge","src/ucl_util.c",2551,2653
"ucl_hash_search","src/ucl_hash.c","ucl_hash_search_obj","src/ucl_internal.h",463,466
"ucl_hash_search","src/ucl_hash.c","ucl_object_merge","src/ucl_util.c",2551,2653
"ucl_hash_search","src/ucl_hash.c","ucl_include_file_single","src/ucl_util.c",1085,1419
"ucl_hash_delete","src/ucl_hash.c","ucl_object_pop_keyl","src/ucl_util.c",2509,2525
"ucl_hash_delete","src/ucl_hash.c","ucl_object_delete_keyl","src/ucl_util.c",2482,2501
"ucl_hash_delete","src/ucl_hash.c","ucl_object_insert_key_common","src/ucl_util.c",2374,2480
"ucl_hash_replace","src/ucl_hash.c","ucl_parser_process_object_element","src/ucl_parser.c",1242,1365
"ucl_hash_replace","src/ucl_hash.c","ucl_parser_append_elt","src/ucl_parser.c",1212,1240
"ucl_hash_replace","src/ucl_hash.c","ucl_object_merge","src/ucl_util.c",2551,2653
"ucl_hash_replace","src/ucl_hash.c","ucl_object_insert_key_common","src/ucl_util.c",2374,2480
"ucl_hash_replace","src/ucl_hash.c","ucl_include_file_single","src/ucl_util.c",1085,1419
"ucl_hash_insert","src/ucl_hash.c","ucl_hash_insert_object","src/ucl_internal.h",473,496
"ucl_hash_destroy","src/ucl_hash.c","ucl_hash_insert_object","src/ucl_internal.h",473,496
"ucl_hash_destroy","src/ucl_hash.c","ucl_object_free_internal","src/ucl_util.c",250,290
"ucl_hash_create","src/ucl_hash.c","ucl_hash_insert_object","src/ucl_internal.h",473,496
"ucl_hash_create","src/ucl_hash.c","ucl_parser_add_container","src/ucl_parser.c",663,745
"ucl_hash_create","src/ucl_hash.c","ucl_object_insert_key_common","src/ucl_util.c",2374,2480
"ucl_chunk_free","src/ucl_util.c","ucl_parser_insert_chunk","src/ucl_parser.c",3120,3152
"ucl_chunk_free","src/ucl_util.c","ucl_parser_free","src/ucl_util.c",599,662
"ucl_chunk_free","src/ucl_util.c","ucl_include_file_single","src/ucl_util.c",1085,1419
"ucl_chunk_free","src/ucl_util.c","ucl_include_url","src/ucl_util.c",1008,1071
"ucl_parse_csexp","src/ucl_sexp.c","ucl_parser_add_chunk_full","src/ucl_parser.c",2974,3095
"ucl_parse_msgpack","src/ucl_msgpack.c","ucl_parser_add_chunk_full","src/ucl_parser.c",2974,3095
"ucl_parser_process_object_element","src/ucl_parser.c","ucl_msgpack_insert_object","src/ucl_msgpack.c",761,799
"ucl_parser_process_object_element","src/ucl_parser.c","ucl_parse_key","src/ucl_parser.c",1376,1585
"ucl_fetch_file","src/ucl_util.c","ucl_load_handler","src/ucl_util.c",1768,1926
"ucl_fetch_file","src/ucl_util.c","ucl_schema_resolve_ref","src/ucl_schema.c",741,880
"ucl_fetch_file","src/ucl_util.c","ucl_parser_add_file_full","src/ucl_util.c",2012,2041
"ucl_fetch_file","src/ucl_util.c","ucl_include_file_single","src/ucl_util.c",1085,1419
"ucl_fetch_url","src/ucl_util.c","ucl_schema_resolve_ref","src/ucl_schema.c",741,880
"ucl_fetch_url","src/ucl_util.c","ucl_include_url","src/ucl_util.c",1008,1071
"ucl_emitter_print_key_msgpack","src/ucl_msgpack.c","ucl_emit_msgpack_elt","src/ucl_emitter.c",546,632
"ucl_emitter_print_null_msgpack","src/ucl_msgpack.c","ucl_emit_msgpack_elt","src/ucl_emitter.c",546,632
"ucl_emitter_print_object_msgpack","src/ucl_msgpack.c","ucl_emit_msgpack_start_obj","src/ucl_emitter.c",635,639
"ucl_emitter_print_array_msgpack","src/ucl_msgpack.c","ucl_emit_msgpack_start_array","src/ucl_emitter.c",642,646
"ucl_emitter_print_binary_string_msgpack","src/ucl_msgpack.c","ucl_emit_msgpack_elt","src/ucl_emitter.c",546,632
"ucl_emitter_print_string_msgpack","src/ucl_msgpack.c","ucl_emit_msgpack_elt","src/ucl_emitter.c",546,632
"ucl_emitter_print_string_msgpack","src/ucl_msgpack.c","ucl_emitter_print_key_msgpack","src/ucl_msgpack.c",291,297
"ucl_emitter_print_bool_msgpack","src/ucl_msgpack.c","ucl_emit_msgpack_elt","src/ucl_emitter.c",546,632
"ucl_emitter_print_double_msgpack","src/ucl_msgpack.c","ucl_emit_msgpack_elt","src/ucl_emitter.c",546,632
"ucl_emitter_print_int_msgpack","src/ucl_msgpack.c","ucl_emit_msgpack_elt","src/ucl_emitter.c",546,632
"ucl_hash_insert_object","src/ucl_internal.h","ucl_parser_process_object_element","src/ucl_parser.c",1242,1365
"ucl_hash_insert_object","src/ucl_internal.h","ucl_object_merge","src/ucl_util.c",2551,2653
"ucl_hash_insert_object","src/ucl_internal.h","ucl_object_insert_key_common","src/ucl_util.c",2374,2480
"ucl_hash_insert_object","src/ucl_internal.h","ucl_include_file_single","src/ucl_util.c",1085,1419
"ucl_hash_search_obj","src/ucl_internal.h","ucl_parser_process_object_element","src/ucl_parser.c",1242,1365
"ucl_hash_search_obj","src/ucl_internal.h","ucl_object_lookup_len","src/ucl_util.c",2656,2670
"ucl_hash_search_obj","src/ucl_internal.h","ucl_object_insert_key_common","src/ucl_util.c",2374,2480
"ucl_maybe_parse_number","src/ucl_parser.c","ucl_lex_number","src/ucl_parser.c",1055,1076
"ucl_maybe_parse_number","src/ucl_parser.c","ucl_object_fromstring_common","src/ucl_util.c",2225,2371
"ucl_maybe_parse_boolean","src/ucl_internal.h","ucl_parse_value","src/ucl_parser.c",1752,2021
"ucl_maybe_parse_boolean","src/ucl_internal.h","ucl_object_fromstring_common","src/ucl_util.c",2225,2371
"ucl_create_err","src/ucl_internal.h","ucl_parse_csexp","src/ucl_sexp.c",60,229
"ucl_create_err","src/ucl_internal.h","ucl_parse_msgpack","src/ucl_msgpack.c",1267,1303
"ucl_create_err","src/ucl_internal.h","ucl_fetch_file","src/ucl_util.c",884,933
"ucl_create_err","src/ucl_internal.h","ucl_fetch_url","src/ucl_util.c",788,874
"ucl_create_err","src/ucl_internal.h","ucl_inherit_handler","src/ucl_util.c",1928,1975
"ucl_create_err","src/ucl_internal.h","ucl_load_handler","src/ucl_util.c",1768,1926
"ucl_create_err","src/ucl_internal.h","ucl_priority_handler","src/ucl_util.c",1711,1758
"ucl_create_err","src/ucl_internal.h","ucl_msgpack_parse_ignore","src/ucl_msgpack.c",1537,1574
"ucl_create_err","src/ucl_internal.h","ucl_msgpack_consume","src/ucl_msgpack.c",872,1265
"ucl_create_err","src/ucl_internal.h","ucl_msgpack_insert_object","src/ucl_msgpack.c",761,799
"ucl_create_err","src/ucl_internal.h","ucl_msgpack_get_container","src/ucl_msgpack.c",685,745
"ucl_create_err","src/ucl_internal.h","ucl_parser_add_string_priority","src/ucl_parser.c",3154,3167
"ucl_create_err","src/ucl_internal.h","ucl_parser_add_chunk_full","src/ucl_parser.c",2974,3095
"ucl_create_err","src/ucl_internal.h","ucl_state_machine","src/ucl_parser.c",2446,2795
"ucl_create_err","src/ucl_internal.h","ucl_parse_after_value","src/ucl_parser.c",2030,2138
"ucl_create_err","src/ucl_internal.h","ucl_set_err","src/ucl_parser.c",65,97
"ucl_create_err","src/ucl_internal.h","ucl_parser_add_fd_full","src/ucl_util.c",2066,2102
"ucl_create_err","src/ucl_internal.h","ucl_parser_add_file_full","src/ucl_util.c",2012,2041
"ucl_create_err","src/ucl_internal.h","ucl_include_common","src/ucl_util.c",1519,1653
"ucl_create_err","src/ucl_internal.h","ucl_include_file","src/ucl_util.c",1430,1506
"ucl_create_err","src/ucl_internal.h","ucl_include_file_single","src/ucl_util.c",1085,1419
"ucl_create_err","src/ucl_internal.h","ucl_pubkey_add","src/ucl_util.c",716,747
"ucl_strnstr","src/ucl_util.c","ucl_schema_resolve_ref","src/ucl_schema.c",741,880
"ucl_strnstr","src/ucl_util.c","ucl_include_common","src/ucl_util.c",1519,1653
"ucl_strlcpy_tolower","src/ucl_util.c","ucl_copy_or_store_ptr","src/ucl_parser.c",596,653
"ucl_strlcpy_unsafe","src/ucl_util.c","ucl_copy_or_store_ptr","src/ucl_parser.c",596,653
"ucl_strlcpy_unsafe","src/ucl_util.c","ucl_object_fromstring_common","src/ucl_util.c",2225,2371
"ucl_strlcpy","src/ucl_util.c","ucl_maybe_parse_number","src/ucl_parser.c",747,1045
"ucl_strlcpy","src/ucl_util.c","ucl_priority_handler","src/ucl_util.c",1711,1758
"ucl_strlcpy","src/ucl_util.c","ucl_schema_resolve_ref","src/ucl_schema.c",741,880
"ucl_strlcpy","src/ucl_util.c","ucl_parser_set_filevars","src/ucl_util.c",1977,2010
"ucl_strlcpy","src/ucl_util.c","ucl_include_file","src/ucl_util.c",1430,1506
"ucl_unescape_squoted_string","src/ucl_util.c","ucl_copy_or_store_ptr","src/ucl_parser.c",596,653
"ucl_unescape_json_string","src/ucl_util.c","ucl_copy_or_store_ptr","src/ucl_parser.c",596,653
"ucl_hash_cmp_icase","src/ucl_hash.c","ucl_hash_sort","src/ucl_hash.c",611,634
"ucl_hash_cmp_case_sens","src/ucl_hash.c","ucl_hash_sort","src/ucl_hash.c",611,634
"ucl_lc_cmp","src/ucl_hash.c","ucl_hash_cmp_icase","src/ucl_hash.c",586,596
"kh_del_ucl_hash_caseless_node","src/ucl_hash.c","ucl_hash_delete","src/ucl_hash.c",485,517
"kh_del_ucl_hash_caseless_node","src/ucl_hash.c","ucl_hash_replace","src/ucl_hash.c",349,390
"ucl_hash_caseless_func","src/ucl_hash.c","kh_put_ucl_hash_caseless_node","src/ucl_hash.c",228,229
"ucl_hash_caseless_func","src/ucl_hash.c","kh_resize_ucl_hash_caseless_node","src/ucl_hash.c",228,229
"ucl_hash_caseless_func","src/ucl_hash.c","kh_get_ucl_hash_caseless_node","src/ucl_hash.c",228,229
"ucl_hash_caseless_equal","src/ucl_hash.c","kh_put_ucl_hash_caseless_node","src/ucl_hash.c",228,229
"ucl_hash_caseless_equal","src/ucl_hash.c","kh_get_ucl_hash_caseless_node","src/ucl_hash.c",228,229
"kh_put_ucl_hash_caseless_node","src/ucl_hash.c","ucl_hash_replace","src/ucl_hash.c",349,390
"kh_put_ucl_hash_caseless_node","src/ucl_hash.c","ucl_hash_insert","src/ucl_hash.c",303,347
"kh_resize_ucl_hash_caseless_node","src/ucl_hash.c","ucl_hash_reserve","src/ucl_hash.c",519,539
"kh_resize_ucl_hash_caseless_node","src/ucl_hash.c","kh_put_ucl_hash_caseless_node","src/ucl_hash.c",228,229
"kh_get_ucl_hash_caseless_node","src/ucl_hash.c","ucl_hash_search","src/ucl_hash.c",448,483
"kh_get_ucl_hash_caseless_node","src/ucl_hash.c","ucl_hash_delete","src/ucl_hash.c",485,517
"kh_destroy_ucl_hash_caseless_node","src/ucl_hash.c","ucl_hash_destroy","src/ucl_hash.c",256,301
"kh_init_ucl_hash_caseless_node","src/ucl_hash.c","ucl_hash_create","src/ucl_hash.c",232,254
"kh_del_ucl_hash_node","src/ucl_hash.c","ucl_hash_delete","src/ucl_hash.c",485,517
"kh_del_ucl_hash_node","src/ucl_hash.c","ucl_hash_replace","src/ucl_hash.c",349,390
"ucl_hash_func","src/ucl_hash.c","kh_put_ucl_hash_node","src/ucl_hash.c",116,117
"ucl_hash_func","src/ucl_hash.c","kh_resize_ucl_hash_node","src/ucl_hash.c",116,117
"ucl_hash_func","src/ucl_hash.c","kh_get_ucl_hash_node","src/ucl_hash.c",116,117
"ucl_hash_equal","src/ucl_hash.c","kh_put_ucl_hash_node","src/ucl_hash.c",116,117
"ucl_hash_equal","src/ucl_hash.c","kh_get_ucl_hash_node","src/ucl_hash.c",116,117
"kh_put_ucl_hash_node","src/ucl_hash.c","ucl_hash_replace","src/ucl_hash.c",349,390
"kh_put_ucl_hash_node","src/ucl_hash.c","ucl_hash_insert","src/ucl_hash.c",303,347
"kh_resize_ucl_hash_node","src/ucl_hash.c","ucl_hash_reserve","src/ucl_hash.c",519,539
"kh_resize_ucl_hash_node","src/ucl_hash.c","kh_put_ucl_hash_node","src/ucl_hash.c",116,117
