"name","file","start_line","end_line","param_count"
"comparePassword","app/data/user-dao.js",60,67,2
"validateUserDoc","app/data/user-dao.js",70,89,2
"getUserByUserName","app/data/user-dao.js",103,107,2
"AllocationsHandler","app/routes/allocations.js",6,32,1
"displayAllocations","app/routes/allocations.js",11,31,3
"BenefitsHandler","app/routes/benefits.js",8,55,1
"displayBenefits","app/routes/benefits.js",13,27,3
"ContributionsHandler","app/routes/contributions.js",7,78,1
"displayContributions","app/routes/contributions.js",12,26,3
"handleContributionsUpdate","app/routes/contributions.js",28,76,3
"errorHandler","app/routes/error.js",3,13,4
"SessionHandler","app/routes/session.js",8,275,1
"ProfileHandler","app/routes/profile.js",8,109,1
"MemosHandler","app/routes/memos.js",6,35,1
"ResearchHandler","app/routes/research.js",7,36,1
"isLoggedInMiddleware","app/routes/session.js",36,42,3
"isAdminUserMiddleware","app/routes/session.js",25,34,3
"displayWelcomePage","app/routes/session.js",256,274,3
"displayLoginPage","app/routes/session.js",44,51,3
"handleLoginRequest","app/routes/session.js",53,119,3
"displaySignupPage","app/routes/session.js",125,136,2
"handleSignup","app/routes/session.js",189,254,3
"displayLogoutPage","app/routes/session.js",121,123,2
"displayProfile","app/routes/profile.js",13,38,3
"handleProfileUpdate","app/routes/profile.js",40,107,3
"displayMemos","app/routes/memos.js",19,33,3
"addMemos","app/routes/memos.js",11,17,3
"displayResearch","app/routes/research.js",12,34,2
"prepareUserData","app/routes/session.js",14,23,2
"validateSignup","app/routes/session.js",138,187,7
"areCookiesEnabled","app/views/login.html",149,168,0
"tryDropCollection","artifacts/db-reset.js",39,48,2
"parseResponse","artifacts/db-reset.js",50,59,3
"newUser","test/security/profile-test.js",177,182,1
"onCompletion","test/security/profile-test.js",109,127,2
"spider","test/security/profile-test.js",131,135,1
"includeInZapContext","test/security/profile-test.js",136,143,1
"setAuthenticationMethod","test/security/profile-test.js",144,159,1
"setLoggedInIndicator","test/security/profile-test.js",160,170,1
"setForcedUserModeEnabled","test/security/profile-test.js",171,176,1
"setForcedUser","test/security/profile-test.js",183,187,1
"setAuthenticationCredentials","test/security/profile-test.js",188,198,1
"setUserEnabled","test/security/profile-test.js",199,204,1
"spiderAsUserForRoot","test/security/profile-test.js",205,209,1
"activeScan","test/security/profile-test.js",210,285,1
